IA112000000112   HNDJetCruise LF8100    01DEC2000 6  19 31  171 255 61300 79077
IA018040000018   SEAJetCruise SF1000    01DEC2000 6  10     123 150 10300 13287
IA029010000029   HNLJetCruise LF5200    02DEC2000 7  13 24  138 207 47400 61146
IA031000000031   ANCJetCruise LF8100    02DEC2000 7  13 22  250 255 24800 31992
IA029010000029   HNLJetCruise LF5200    03DEC2000 1  14 25  132 207 48200 62178
IA031000000031   ANCJetCruise MF4000    03DEC2000 1  16     243 267 25600 33024
IA008000000008   RDUJetCruise MF4000    04DEC2000 2  16     243 267 25600 33024
IA018050000018   SEAJetCruise SF1000    04DEC2000 2  11     123 150 10100 13029
IA018040000018   SEAJetCruise LF5100    06DEC2000 4  11 12  111 165 12500 16125
IA031010000031   ANCJetCruise LF8100    06DEC2000 4  14 26  233 255 28000 36120
IA018020000018   SEAJetCruise SF1000    07DEC2000 5  10 N/A 132 150  8500 10965
IA112000000112   HNDJetCruise LF8100    08DEC2000 6  17 33  194 255 56700 73143
IA031010000031   ANCJetCruise LF8100    08DEC2000 6  13 17  242 255 26400 34056
IA018040000018   SEAJetCruise SF1000    08DEC2000 6  12     119 150 10700 13803
IA112010000112   HNDJetCruise LF8100    09DEC2000 7  15 32  175 255 61100 78819
IA031000000031   ANCJetCruise MF4000    09DEC2000 7  14     237 267 27200 35088
IA018050000018   SEAJetCruise SF1000    10DEC2000 1  12     126 150  9300 11997
IA018030000018   SEAJetCruise SF1000    11DEC2000 2  12     136 150  7300  9417
IA112010000112   HNDJetCruise MF2100    12DEC2000 3  18 31  178 237 60100 77529
IA112000000112   HNDJetCruise LF8100    13DEC2000 4  17 29  179 255 60500 78045
IA031000000031   ANCJetCruise MF4000    13DEC2000 4  14     244 267 25800 33282
IA018020000018   SEAJetCruise SF1000    13DEC2000 4  12     115 150 11500 14835
IA018040000018   SEAJetCruise SF1000    13DEC2000 4  11     115 150 11700 15093
IA018050000018   SEAJetCruise SF1000    13DEC2000 4  10     123 150 10300 13287
IA112010000112   HNDJetCruise LF8100    14DEC2000 5  16 35  163 255 62700 80883
IA008010000008   RDUJetCruise MF4000    14DEC2000 5  14 N/A 222 267 30200 38958
IA018030000018   SEAJetCruise SF1000    15DEC2000 6  11     105 150 13700 17673
IA008010000008   RDUJetCruise MF4000    16DEC2000 7  13     229 267 29000 37410
IA018000000018   SEAJetCruise SF1000    16DEC2000 7  10     128 150  9300 11997
IA018030000018   SEAJetCruise LF5100    17DEC2000 1  11 18  104 165 13900 17931
IA018030000018   SEAJetCruise SF1000    18DEC2000 2  11     131 150  8500 10965
IA008010000008   RDUJetCruise MF4000    19DEC2000 3  14     205 267 33600 43344
IA031000000031   ANCJetCruise LF8000    20DEC2000 4  15 22  199 238 34600 44643
IA008010000008   RDUJetCruise MF4000    20DEC2000 4  14     208 267 33000 42570
IA018030000018   SEAJetCruise SF1000    20DEC2000 4  10     111 150 12700 16383
IA018010000018   SEAJetCruise SF1000    21DEC2000 5  12     106 150 13300 17157
IA112000000112   HNDJetCruise MF2100    22DEC2000 6  15 27  187 237 59700 77013
IA018000000018   SEAJetCruise LF5100    24DEC2000 1  10 23  113 165 12300 15867
IA029010000029   HNLJetCruise LF5200    24DEC2000 1  12 29  155 207 43200 55728
IA031010000031   ANCJetCruise MF4000    24DEC2000 1  15     237 267 27000 34830
IA018010000018   SEAJetCruise SF1000    24DEC2000 1  11     115 150 11700 15093
IA018020000018   SEAJetCruise SF1000    25DEC2000 2  12     131 150  8300 10707
IA018050000018   SEAJetCruise SF1000    25DEC2000 2  11     113 150 12100 15609
IA008000000008   RDUJetCruise MF4000    26DEC2000 3  15     249 267 24600 31734
IA018000000018   SEAJetCruise SF1000    26DEC2000 3  11     127 150  9300 11997
IA018010000018   SEAJetCruise SF1000    26DEC2000 3  12     118 150 10900 14061
IA018020000018   SEAJetCruise SF1000    26DEC2000 3  11     127 150  9300 11997
IA112000000112   HNDJetCruise LF8100    27DEC2000 4  17 29  154 255 65500 84495
IA018030000018   SEAJetCruise SF1000    27DEC2000 4  11     126 150  9500 12255
IA018040000018   SEAJetCruise SF1000    27DEC2000 4  12     119 150 10700 13803
IA031010000031   ANCJetCruise LF8000    28DEC2000 5  15 43  205 238 33400 43086
IA031000000031   ANCJetCruise MF4000    30DEC2000 7  14     249 267 24800 31992
